ID:1; Length: Short; Tone: Bullet; Jail: Yes
ID:2; Length: Short; Tone: Bullet; Jail: No
ID:3; Length: Short; Tone: Bullet; Jail: Yes
ID:4; Length: Short; Tone: Bullet; Jail: No
ID:5; Length: Short; Tone: Bullet; Jail: Yes
ID:6; Length: Short; Tone: Sentence; Jail: No
ID:7; Length: Short; Tone: Sentence; Jail: Yes
ID:8; Length: Short; Tone: Sentence; Jail: No
ID:9; Length: Short; Tone: Sentence; Jail: Yes
ID:10; Length: Short; Tone: Sentence; Jail: No
ID:11; Length: Long; Tone: Bullet; Jail: Yes
ID:12; Length: Long; Tone: Bullet; Jail: No
ID:13; Length: Long; Tone: Bullet; Jail: Yes
ID:14; Length: Long; Tone: Bullet; Jail: No
ID:15; Length: Long; Tone: Bullet; Jail: Yes
ID:16; Length: Long; Tone: Sentence; Jail: No
ID:17; Length: Long; Tone: Sentence; Jail: Yes
ID:18; Length: Long; Tone: Sentence; Jail: No
ID:19; Length: Long; Tone: Sentence; Jail: Yes
ID:20; Length: Long; Tone: Sentence; Jail: No
